project,language,commits,bcommits,tins,devs,max_commit_age
bitcoin/bitcoin,C,10081,1596,184143,333,3750
bitcoin/bitcoin,C++,21901,3816,396512,578,3754
bitcoin/bitcoin,Objective-C,30,9,394,16,2878
bitcoin/bitcoin,Python,4996,532,72697,210,3097
bitcoin/bitcoin,TypeScript,2806,249,782851,15,3020
blueimp/jQuery-File-Upload,Go,28,2,1033,3,2517
blueimp/jQuery-File-Upload,JavaScript,827,207,51344,62,3279
blueimp/jQuery-File-Upload,PHP,194,63,3537,30,3147
blueimp/jQuery-File-Upload,Python,24,0,356,2,1918
brendangregg/FlameGraph,Perl,217,45,4322,50,2869
briannesbitt/Carbon,PHP,12973,3404,399243,240,2650
briansmith/ring,C,15897,2720,427492,111,1872
briansmith/ring,C++,3791,501,127866,61,1823
briansmith/ring,Go,2101,363,80038,32,1812
briansmith/ring,Perl,1174,247,64958,15,1849
briansmith/ring,Python,268,23,12632,25,1609
bumptech/glide,Java,15532,2999,287178,141,2537
caddyserver/caddy,Go,8718,2819,934174,264,1786
capistrano/capistrano,JavaScript,106,3,33696,4,1565
capistrano/capistrano,Ruby,1419,494,14470,127,2430
carrierwaveuploader/carrierwave,Ruby,2776,555,37531,286,4047
ccgus/fmdb,C,258,33,4791,34,3124
ccgus/fmdb,Objective-C,452,111,11469,65,3124
ccgus/fmdb,Swift,10,0,236,4,1750
cdr/code-server,JavaScript,269,74,16851,9,295
cdr/code-server,TypeScript,1429,417,37476,18,335
cefsharp/CefSharp,C,3884,552,66692,88,3291
cefsharp/CefSharp,C#,6354,1053,81170,128,3290
cefsharp/CefSharp,C++,2023,331,28242,77,3290
certbot/certbot,C,12,0,161,2,1293
certbot/certbot,Python,14675,2786,186246,290,2752
chaplinjs/chaplin,CoffeeScript,2082,281,31874,61,2606
chaplinjs/chaplin,JavaScript,811,33,58976,8,1455
chaplinjs/chaplin,Ruby,13,0,253,2,146
chartjs/Chart.js,JavaScript,4874,1204,474429,229,2456
chocolatey/choco,C#,4080,812,67983,49,2169
chrisbanes/PhotoView,Java,560,113,10583,36,2325
chubin/cheat.sh,Python,379,44,9203,11,895
cjdelisle/cjdns,C,12808,1714,324279,98,3092
cjdelisle/cjdns,C++,441,0,5176,5,1229
cjdelisle/cjdns,JavaScript,675,85,37598,43,2659
cjdelisle/cjdns,Lua,50,1,1214,7,807
cjdelisle/cjdns,PHP,39,6,1781,8,2118
cjdelisle/cjdns,Perl,27,4,493,8,859
cjdelisle/cjdns,Python,698,22,53329,27,2243
cloudwu/skynet,C,2104,346,89524,53,2675
cloudwu/skynet,Lua,1737,304,34903,61,2684
cmusatyalab/openface,JavaScript,46,0,13465,5,1464
cmusatyalab/openface,Lua,238,54,6018,3,379
cmusatyalab/openface,Python,403,79,6669,19,928
cockroachdb/cockroach,C,1021,182,5702,50,1956
cockroachdb/cockroach,C++,1409,285,18202,52,1930
cockroachdb/cockroach,Go,104529,23048,3212750,297,2128
cockroachdb/cockroach,Java,21,6,450,11,739
cockroachdb/cockroach,JavaScript,470,67,176925,35,1796
cockroachdb/cockroach,Python,58,15,1996,16,762
cockroachdb/cockroach,Ruby,49,5,406,17,823
cockroachdb/cockroach,TypeScript,4972,1285,186940,65,1664
cocos2d/cocos2d-x,C,69404,11398,4779097,510,3444
cocos2d/cocos2d-x,C#,134,18,8331,10,1484
cocos2d/cocos2d-x,C++,50623,13394,2765874,701,3444
cocos2d/cocos2d-x,Java,1881,607,61471,117,3288
cocos2d/cocos2d-x,JavaScript,3239,694,277005,85,3076
cocos2d/cocos2d-x,Lua,9710,424,272339,97,3100
cocos2d/cocos2d-x,Objective-C,3465,1104,117550,196,3370
cocos2d/cocos2d-x,Python,1159,233,53475,78,3076
codecombat/codecombat,CoffeeScript,35220,5955,702275,774,2167
codecombat/codecombat,JavaScript,2111,220,490093,40,2148
codecombat/codecombat,Python,134,34,2512,17,1666
commaai/openpilot,C,1942,120,339846,11,1060
commaai/openpilot,C++,406,15,44899,11,1086
commaai/openpilot,Python,2913,260,134690,65,1078
composer/composer,PHP,11055,4117,141552,732,3163
containous/traefik,C,10,1,171,5,909
containous/traefik,Go,34376,4100,3801405,267,1552
containous/traefik,JavaScript,270,4,7100,18,1537
containous/traefik,TypeScript,99,12,1527,8,443
ctripcorp/apollo,Java,5413,560,100241,64,1366
ctripcorp/apollo,JavaScript,724,134,44489,17,1349
curl/curl,C,31087,10234,469564,596,7273
curl/curl,C++,34,6,1214,12,6540
curl/curl,PHP,17,0,111,2,223
curl/curl,Perl,1701,377,34929,74,7273
curl/curl,Python,47,3,20697,12,2431
d3/d3,JavaScript,11002,3474,248648,98,3339
danielgindi/Charts,C,697,44,19215,10,1106
danielgindi/Charts,Objective-C,961,124,12776,26,1450
danielgindi/Charts,Swift,4878,990,84349,134,1696
deepfakes/faceswap,Python,2358,1013,84517,67,723
denoland/deno,C,168,29,1125,12,545
denoland/deno,C++,416,81,6634,17,545
denoland/deno,Go,165,9,1988,10,39
denoland/deno,JavaScript,386,58,65302,29,572
denoland/deno,Python,724,99,8701,37,543
denoland/deno,TypeScript,5223,691,109434,119,575
diaspora/diaspora,JavaScript,6563,1075,158509,177,3412
diaspora/diaspora,Ruby,25879,3910,211196,333,3415
dibyendumajumdar/ravi,Assembly,7,0,3326,1,30
dibyendumajumdar/ravi,C,2748,381,149014,7,1793
dibyendumajumdar/ravi,C++,807,140,25852,6,1788
dibyendumajumdar/ravi,Lua,398,68,24562,5,1792
dingo/api,PHP,2507,680,43206,107,2027
discourse/discourse,CoffeeScript,446,155,1109,13,14
discourse/discourse,JavaScript,35214,10669,1289705,229,2494
discourse/discourse,Ruby,44944,16898,503314,494,2979
django/django,JavaScript,737,416,62967,79,5248
django/django,Python,63590,37226,818107,1609,5264
dmlc/xgboost,C,1837,365,49625,72,2133
dmlc/xgboost,C#,9,0,179,1,6
dmlc/xgboost,C++,2419,547,63297,98,2133
dmlc/xgboost,Java,401,81,10891,28,1698
dmlc/xgboost,Python,1197,312,26443,179,2115
dmlc/xgboost,Scala,771,266,16891,51,1410
dmotz/oriDomi,CoffeeScript,448,62,5304,4,912
dmotz/oriDomi,JavaScript,106,5,4077,2,1277
docker/compose,Python,5846,1219,74603,268,2176
docpad/docpad,CoffeeScript,1844,562,57645,38,2699
docpad/docpad,JavaScript,185,40,8996,2,2724
doczjs/docz,JavaScript,1036,261,11333,32,634
doczjs/docz,TypeScript,3216,911,32943,73,634
domnikl/DesignPatternsPHP,PHP,2226,319,16041,109,2944
domnikl/DesignPatternsPHP,Python,11,4,299,2,1598
donnemartin/interactive-coding-challenges,Python,1822,358,66103,40,1226
dotnet-architecture/eShopOnContainers,C#,7814,1128,177204,99,1169
dotnet-architecture/eShopOnContainers,JavaScript,437,19,176876,16,978
dotnet-architecture/eShopOnContainers,TypeScript,440,108,4315,22,1110
dotnet/BenchmarkDotNet,C#,9328,2920,114477,97,2300
dotnet/BenchmarkDotNet,JavaScript,23,0,621,3,923
dotnet/machinelearning,C,24,4,1262,8,530
dotnet/machinelearning,C#,23493,3235,441780,117,585
dotnet/machinelearning,C++,56,18,6296,14,579
dotnet/orleans,C#,25167,3339,501115,225,1782
dotnet/roslyn,C,103,21,847,9,477
dotnet/roslyn,C#,163351,27863,5176783,501,2093
dotnet/roslyn,C++,133,31,15519,11,888
drone/drone,C,35,8,728434,3,1781
drone/drone,Go,14724,1036,965297,248,2132
drone/drone,JavaScript,382,32,13591,14,859
dropbox/zxcvbn,CoffeeScript,228,39,6222,16,1804
dropbox/zxcvbn,JavaScript,104,7,152105,8,1806
dropbox/zxcvbn,Python,37,1,789,2,1350
duckduckgo/duckduckgo,JavaScript,10,0,1742,3,200
duckduckgo/duckduckgo,Perl,792,99,11583,32,2231
duckduckgo/zeroclickinfo-goodies,JavaScript,368,88,19640,50,1433
duckduckgo/zeroclickinfo-goodies,Perl,5703,761,96667,458,2854
dzenbot/DZNEmptyDataSet,C,628,31,4433,20,1062
dzenbot/DZNEmptyDataSet,Objective-C,607,82,16912,39,1331
eczarny/spectacle,C,625,45,3249,8,3397
eczarny/spectacle,JavaScript,79,8,667,3,344
eczarny/spectacle,Objective-C,1034,109,21738,15,3399
elastic/elasticsearch,Java,284957,47194,5506919,724,3593
elastic/elasticsearch,JavaScript,62,0,913,5,612
elastic/elasticsearch,Perl,88,13,13864,11,1828
elastic/elasticsearch,Python,328,52,19080,33,2120
elastic/elasticsearch,Ruby,29,5,874,8,1040
elastic/kibana,Assembly,8,0,72,3,83
elastic/kibana,C#,8,0,16,3,83
elastic/kibana,C++,34,0,1041,4,433
elastic/kibana,CoffeeScript,177,3,4146,5,642
elastic/kibana,Go,8,0,136,3,83
elastic/kibana,Java,357,38,5553,9,2024
elastic/kibana,JavaScript,193296,29916,11214227,400,2227
elastic/kibana,Lua,10,0,154,4,433
elastic/kibana,Objective-C,8,0,416,3,83
elastic/kibana,PHP,26,12,5247,4,200
elastic/kibana,Perl,15,2,2070,6,1533
elastic/kibana,Python,29,0,1595,7,2009
elastic/kibana,Ruby,124,9,1742,6,314
elastic/kibana,Scala,8,0,276,3,83
elastic/kibana,TypeScript,56905,15138,1374113,234,2016
elastic/logstash,Java,2959,2131,72138,36,3028
elastic/logstash,JavaScript,209,33,27474,7,2853
elastic/logstash,Ruby,11220,4335,183159,340,3777
electron/electron,C,10456,1860,77881,194,2463
electron/electron,C++,15028,3226,194810,259,2463
electron/electron,CoffeeScript,1862,336,14676,46,2369
electron/electron,JavaScript,6672,1195,108443,235,2432
electron/electron,Objective-C,2298,475,27330,137,2463
electron/electron,Python,1401,356,16686,67,2432
electron/electron,TypeScript,644,143,32559,32,1128
emscripten-core/emscripten,C,9323,900,1173921,213,3389
emscripten-core/emscripten,C++,3453,375,441050,114,3393
emscripten-core/emscripten,CoffeeScript,25,8,629,3,427
emscripten-core/emscripten,JavaScript,13308,3431,788094,398,3394
emscripten-core/emscripten,Lua,10,0,587,2,2140
emscripten-core/emscripten,Python,12182,2547,198190,314,3394
envoyproxy/envoy,C,13730,2493,168316,303,1217
envoyproxy/envoy,C++,22783,4056,512812,344,1217
envoyproxy/envoy,Go,12,5,355,10,1157
envoyproxy/envoy,Python,537,102,17718,81,1217
erusev/parsedown,PHP,500,108,9121,31,2068
esp8266/Arduino,C,3527,961,205385,214,1849
esp8266/Arduino,C++,1973,635,155943,215,1845
esp8266/Arduino,Python,244,68,5774,49,1617
etcd-io/etcd,C,12,1,91,8,1871
etcd-io/etcd,Go,31927,4801,1816137,367,2378
etcd-io/etcd,JavaScript,140,21,26391,7,309
etcd-io/etcd,Python,12,0,441,10,2018
ethereum/go-ethereum,C,745,32,195483,11,1771
ethereum/go-ethereum,C++,172,6,94923,6,1754
ethereum/go-ethereum,Go,32566,6015,2305161,461,2174
ethereum/go-ethereum,JavaScript,1108,188,56008,34,2033
ethereum/go-ethereum,Perl,51,8,1277,5,1375
ethereum/go-ethereum,Python,49,7,3551,11,1618
eugenp/tutorials,Java,47288,4162,822712,887,2416
eugenp/tutorials,JavaScript,2818,26,624793,51,1863
eugenp/tutorials,Python,12,0,581,6,1831
eugenp/tutorials,Scala,102,0,1788,11,1281
eugenp/tutorials,TypeScript,1124,1,26254,12,920
expo/expo,C,142076,5257,1187258,58,1201
expo/expo,C++,29139,214,5193047,24,1166
expo/expo,Java,28220,3449,1176423,103,1211
expo/expo,JavaScript,31261,1803,2254346,105,1273
expo/expo,Objective-C,34049,2208,2608641,89,1206
expo/expo,Python,30,1,1172,5,1232
expo/expo,Ruby,200,32,2406,8,1082
expo/expo,TypeScript,3615,897,49041,66,446
expressjs/express,JavaScript,5979,894,76378,201,3620
facebook/SocketRocket,C,137,13,1492,26,2281
facebook/SocketRocket,Objective-C,295,68,6282,49,2040
facebook/SocketRocket,Python,19,0,2476,3,1592
facebook/create-react-app,JavaScript,2931,723,121073,423,1243
facebook/create-react-app,TypeScript,61,10,512,19,411
facebook/folly,C,14595,2731,363115,623,2778
facebook/folly,C++,12880,2613,356476,562,2777
facebook/folly,Python,454,86,12962,49,2746
facebook/folly,Ruby,13,1,172,6,2016
facebook/fresco,C,993,415,272264,18,1646
facebook/fresco,C++,160,28,2218,25,1695
facebook/fresco,Java,8835,1094,144077,264,1719
facebook/fresco,JavaScript,88,29,24311,10,1678
facebook/fresco,Python,18,2,363,7,1626
facebook/hhvm,C,54639,9648,1192806,591,3597
facebook/hhvm,C++,84423,18309,6566642,776,3597
facebook/hhvm,JavaScript,181,13,27768,40,2210
facebook/hhvm,PHP,144911,8398,1422681,626,3596
facebook/hhvm,Perl,13,0,266,7,2173
facebook/hhvm,Python,1645,304,37177,159,3582
facebook/react,C++,20,4,906,4,1084
facebook/react,CoffeeScript,43,7,793,23,1661
facebook/react,JavaScript,33435,7293,920696,870,2387
facebook/react,Python,11,5,367,5,1394
facebook/react,Ruby,18,7,94,11,1478
facebook/react,TypeScript,81,15,1303,23,1340
facebook/react-native,C,9956,1218,126421,367,1771
facebook/react-native,C++,4182,430,83736,153,1547
facebook/react-native,Java,12360,1981,217881,561,1548
facebook/react-native,JavaScript,30660,4404,1107873,1634,1771
facebook/react-native,Objective-C,9624,2391,166238,669,1775
facebook/react-native,Python,9,0,621,5,1300
facebook/react-native,Ruby,15,4,80,9,176
facebook/rocksdb,C,10810,2014,222008,434,3189
facebook/rocksdb,C++,20712,5127,575133,555,3189
facebook/rocksdb,Java,2201,328,82401,85,2609
facebook/rocksdb,PHP,99,20,2413,22,2506
facebook/rocksdb,Python,276,60,15981,58,2524
facebook/yoga,C,1580,240,115953,94,2055
facebook/yoga,C#,871,129,47148,34,1483
facebook/yoga,C++,1629,260,70134,59,1226
facebook/yoga,Java,1514,259,60856,63,1902
facebook/yoga,JavaScript,1466,277,57026,59,2024
facebook/yoga,Objective-C,141,42,3978,25,1098
facebook/yoga,Python,37,9,453,12,876
facebook/yoga,Ruby,11,1,71,6,1087
facebook/yoga,Swift,35,9,626,8,1034
facebook/zstd,C,9532,2411,277199,117,1775
facebook/zstd,C++,101,33,4294,9,1160
facebook/zstd,Python,104,18,2777,8,1257
faif/python-patterns,Python,1017,187,10122,104,2717
faker-ruby/faker,Ruby,4143,1006,38769,465,4398
fastlane/fastlane,C,119,38,573,7,1323
fastlane/fastlane,Java,96,9,1962,18,1426
fastlane/fastlane,JavaScript,41,8,380,5,483
fastlane/fastlane,Objective-C,224,63,2016,8,1323
fastlane/fastlane,Ruby,20471,4553,220032,1046,1905
fastlane/fastlane,Swift,1243,86,16284,60,1607
fatedier/frp,Go,5164,247,702291,34,1398
fatedier/frp,JavaScript,88,8,1167,2,915
felixse/FluentTerminal,C#,1856,494,37980,30,682
felixse/FluentTerminal,JavaScript,68,8,15469,7,493
felixse/FluentTerminal,TypeScript,162,1,15052,4,644
filp/whoops,JavaScript,34,12,358,10,1606
filp/whoops,PHP,924,249,11305,109,2456
flatpickr/flatpickr,JavaScript,2668,695,51704,100,1658
flatpickr/flatpickr,TypeScript,974,442,15934,95,799
fluent/fluentd,Ruby,6674,1547,141423,196,3095
formatjs/react-intl,JavaScript,1915,219,32509,52,2021
formatjs/react-intl,TypeScript,350,190,5381,11,175
freeCodeCamp/devdocs,CoffeeScript,1745,224,10987,38,2179
freeCodeCamp/devdocs,JavaScript,69,4,24398,8,2129
freeCodeCamp/devdocs,Ruby,4197,236,46338,89,2192
freeCodeCamp/freeCodeCamp,JavaScript,12320,3631,701391,293,2218
fxsjy/jieba,Python,631,117,990344,38,2464
fzaninotto/Faker,PHP,3482,1078,210165,492,2966
gatling/gatling,Java,1382,158,51518,23,3084
gatling/gatling,JavaScript,63,8,1787,15,2783
gatling/gatling,Python,15,0,289,4,1830
gatling/gatling,Scala,32842,2786,249856,119,3100
gatsbyjs/gatsby,CoffeeScript,232,32,3006,6,252
gatsbyjs/gatsby,JavaScript,18095,6885,365550,1132,1643
gatsbyjs/gatsby,TypeScript,160,57,4727,69,951
gentilkiwi/mimikatz,C,2032,455,410052,3,2058
getgrav/grav,JavaScript,40,0,3148,4,1315
getgrav/grav,PHP,8695,1718,179998,130,1955
getsentry/sentry,CoffeeScript,91,18,1230,2,42
getsentry/sentry,JavaScript,26460,5846,536482,131,3388
getsentry/sentry,Lua,32,9,3870,6,1379
getsentry/sentry,Python,46373,8464,1650427,371,4230
getsentry/sentry,TypeScript,1345,439,42146,26,170
ggreer/the_silver_searcher,C,1681,397,13868,171,2662
gin-gonic/gin,Go,1790,427,27413,198,1988
gin-gonic/gin,JavaScript,14,5,304,3,1388
git/git,C,41946,9490,598373,1087,5354
git/git,JavaScript,29,10,1964,8,4397
git/git,Perl,447,121,16441,109,5293
git/git,Python,402,114,16058,78,5168
gitbucket/gitbucket,Java,125,7,634,14,2328
gitbucket/gitbucket,JavaScript,963,32,525789,19,2372
gitbucket/gitbucket,Scala,5559,1115,83227,114,2434
github/hub,Go,4403,542,367555,114,2436
github/hub,Ruby,970,250,10385,62,3646
github/hubot-scripts,CoffeeScript,2736,571,46317,796,1699
github/hubot-scripts,JavaScript,10,1,289,5,439
github/linguist,C,200,8,53271,21,3050
github/linguist,C++,41,0,11230,7,2247
github/linguist,CoffeeScript,35,1,1469,4,1275
github/linguist,Go,45,7,5633,11,1632
github/linguist,Java,25,0,4659,6,1604
github/linguist,JavaScript,95,8,31907,13,3072
github/linguist,Objective-C,175,42,49625,20,2834
github/linguist,PHP,26,0,7254,7,1634
github/linguist,Perl,94,15,9260,14,2571
github/linguist,Python,24,0,2125,7,1929
github/linguist,Ruby,2277,278,22843,234,3137
github/linguist,TypeScript,22,6,2359,8,2266
gitlabhq/gitlabhq,CoffeeScript,2784,666,30809,152,1783
gitlabhq/gitlabhq,JavaScript,25880,4455,992455,428,2983
gitlabhq/gitlabhq,Ruby,142312,23247,1633520,1545,2983
gnachman/iTerm2,C,9351,2448,162082,90,3429
gnachman/iTerm2,C++,15,4,410,4,3360
gnachman/iTerm2,JavaScript,39,0,26245,2,781
gnachman/iTerm2,Objective-C,19975,6703,658404,154,3429
gnachman/iTerm2,Perl,8,5,288,4,1153
gnachman/iTerm2,Python,3655,261,541904,16,3413
gnachman/iTerm2,Swift,59,16,2130,1,222
go-gitea/gitea,C,20,3,269458,7,1111
go-gitea/gitea,Go,23203,8387,2102815,472,2127
go-gitea/gitea,JavaScript,1250,221,235569,99,2123
go-kit/kit,Go,3004,354,94043,154,1732
godotengine/godot,C,38877,8694,2935766,636,2129
godotengine/godot,C#,587,113,21537,36,794
godotengine/godot,C++,41399,14764,1766031,1089,2130
godotengine/godot,Java,796,312,36944,42,2111
godotengine/godot,JavaScript,36,9,1133,9,2059
godotengine/godot,Objective-C,562,214,15075,93,2127
godotengine/godot,Perl,383,235,75457,6,2029
godotengine/godot,Python,1548,584,36564,179,2128
gogs/gogs,Go,12740,3108,884447,265,2126
gogs/gogs,JavaScript,670,99,112330,39,2095
gohugoio/hugo,Go,10501,3887,225276,310,2350
gohugoio/hugo,JavaScript,213,27,43998,7,2194
golang/go,C,18845,5910,574019,191,4245
golang/go,Go,106428,29827,4466296,1643,4291
golang/go,JavaScript,100,36,6132,22,3713
golang/go,Perl,124,19,3721,32,3111
golang/go,Python,274,99,12540,51,3475
gollum/gollum,JavaScript,3522,82,453788,36,2104
gollum/gollum,Ruby,1549,339,14587,120,3099
google/ExoPlayer,C,16,1,307,6,1270
google/ExoPlayer,C++,103,19,3775,16,1738
google/ExoPlayer,Java,24169,4416,546858,211,1995
google/brotli,C,1813,662,135136,28,2111
google/brotli,C++,435,143,29145,22,2093
google/brotli,Java,229,108,11210,2,906
google/brotli,JavaScript,17,15,2704,2,613
google/brotli,Lua,10,3,134,4,389
google/brotli,Python,139,27,4834,15,1730
google/flatbuffers,C,1053,419,28741,191,2141
google/flatbuffers,C#,479,156,9171,57,1882
google/flatbuffers,C++,1478,576,57098,227,2141
google/flatbuffers,Go,275,112,8110,48,1963
google/flatbuffers,Java,515,167,9788,57,2107
google/flatbuffers,JavaScript,127,49,7518,30,2106
google/flatbuffers,Lua,55,35,2968,10,497
google/flatbuffers,PHP,106,44,6636,23,1400
google/flatbuffers,Python,204,97,8042,37,1812
google/flatbuffers,TypeScript,77,41,6080,22,938
google/googletest,C,1850,369,62023,105,4166
google/googletest,C++,2504,496,67612,113,4166
google/googletest,Python,543,98,19155,38,4166
google/gson,Java,3706,722,72524,77,4074
google/guava,Java,35495,7435,1260448,340,3736
google/leveldb,C,748,216,9520,23,3173
google/leveldb,C++,1121,328,36216,40,3180
grafana/grafana,C,579,6,535226,4,1767
grafana/grafana,Go,27338,4546,3793650,416,1951
grafana/grafana,JavaScript,22976,2395,1701575,320,2509
grafana/grafana,Perl,93,0,7002,4,1293
grafana/grafana,Python,22,1,1434,6,1796
grafana/grafana,TypeScript,28358,4830,632193,349,1554
greenrobot/EventBus,Java,934,61,15920,14,2683
grpc/grpc,C,47812,8865,951878,302,1838
grpc/grpc,C#,4239,695,105032,63,1764
grpc/grpc,C++,21950,3218,453716,254,1840
grpc/grpc,Go,67,8,1887,9,1678
grpc/grpc,Java,55,3,2473,11,1775
grpc/grpc,JavaScript,2340,263,46199,28,1605
grpc/grpc,Objective-C,2315,435,49851,48,1743
grpc/grpc,PHP,773,150,31604,32,1807
grpc/grpc,Python,9698,1201,197338,183,1838
grpc/grpc,Ruby,1968,455,37827,83,1827
grpc/grpc,Swift,20,5,252,6,1192
gulpjs/gulp,CoffeeScript,41,1,232,1,2
gulpjs/gulp,JavaScript,402,61,4386,33,2131
guzzle/guzzle,JavaScript,36,5,5363,6,2589
guzzle/guzzle,PHP,10334,1749,145632,253,3206
guzzle/guzzle,Python,12,1,179,1,634
h2o/h2o,C,11884,1373,448984,90,1939
h2o/h2o,C++,105,18,21358,9,1790
h2o/h2o,JavaScript,167,32,11337,9,1691
h2o/h2o,PHP,8,0,24,3,813
h2o/h2o,Perl,196,22,5425,12,1935
h2o/h2o,Python,48,0,7021,2,1288
h2o/h2o,Ruby,1318,18,54192,11,1459
h5bp/html5-boilerplate,Java,20,4,0,7,538
h5bp/html5-boilerplate,JavaScript,277,56,53467,54,3559
h5bp/html5-boilerplate,PHP,77,3,4544,2,56
hackiftekhar/IQKeyboardManager,C,663,219,11476,24,2492
hackiftekhar/IQKeyboardManager,Objective-C,1098,442,37095,44,2492
hackiftekhar/IQKeyboardManager,Swift,929,272,22696,35,1915
hakimel/reveal.js,JavaScript,1549,316,28881,179,2844
hankcs/HanLP,Java,3761,100,113302,32,1888
haoel/leetcode,C++,1264,108,26143,30,1807
haoel/leetcode,Java,223,0,4989,5,862
haoel/leetcode,Python,75,0,1254,1,34
hashicorp/consul,C,23,6,834,10,1318
hashicorp/consul,Go,30901,4134,3659597,267,2195
hashicorp/consul,JavaScript,2496,151,152617,38,2131
hashicorp/consul,Perl,84,16,4560,6,1210
hashicorp/consul,Ruby,94,2,388,24,2131
hashicorp/terraform,C,25,6,453,9,1137
hashicorp/terraform,Go,71672,9809,8052516,1047,2028
hashicorp/terraform,JavaScript,233,24,10595,11,1061
hashicorp/terraform,Perl,167,45,8628,7,1190
hashicorp/terraform,Python,11,1,495,5,940
hashicorp/terraform,Ruby,86,9,3082,23,1911
hashicorp/vagrant,JavaScript,61,2,3995,6,2504
hashicorp/vagrant,Python,49,0,535,1,357
hashicorp/vagrant,Ruby,17576,2910,216647,780,3594
hashicorp/vault,C,20,0,818,6,1379
hashicorp/vault,Go,40522,4286,3292472,412,1745
hashicorp/vault,JavaScript,3256,414,285292,40,1715
hashicorp/vault,Perl,69,0,1685,3,1245
hashicorp/vault,Python,15,1,578,3,1451
hashicorp/vault,Ruby,79,2,359,15,1704
helm/helm,Go,9362,2285,144369,304,1499
helm/helm,Python,149,10,4268,12,176
home-assistant/home-assistant,JavaScript,611,21,76006,8,1238
home-assistant/home-assistant,Python,57788,18101,1245997,1908,2275
hsoft/collapseos,Assembly,1256,164,27277,3,242
hsoft/collapseos,C,144,21,2281,2,239
hsoft/collapseos,Perl,7,1,126,1,32
hsoft/collapseos,Python,34,2,605,1,237
huggingface/transformers,Python,4084,716,160459,199,406
huginn/huginn,CoffeeScript,98,26,1143,11,1488
huginn/huginn,JavaScript,26,2,4391,6,1500
huginn/huginn,Ruby,3835,783,59496,150,2464
ianyh/Amethyst,C,255,25,2696,8,1444
ianyh/Amethyst,Objective-C,545,141,6697,13,1096
ianyh/Amethyst,Swift,1086,174,19539,15,1461
ibireme/YYKit,C,531,36,29846,10,1464
ibireme/YYKit,Objective-C,555,159,53792,19,1427
