project,class,commits,bcommits,tins,devs,max_commit_age
beyondgrep/ack2,Scripting_Dynamic_Allow_Managed,898,108,13148,38,2966
bilibili/ijkplayer,Procedural_Static_Allow_Unmanaged,4329,495,95974,45,1702
bilibili/ijkplayer,Procedural_Static_Disallow_Managed,876,61,17653,21,1702
bitcoin/bitcoin,Procedural_Static_Allow_Unmanaged,32012,5421,581049,618,3754
bitcoin/bitcoin,Scripting_Dynamic_Disallow_Managed,4996,532,72697,210,3097
blueimp/jQuery-File-Upload,Procedural_Static_Disallow_Managed,28,2,1033,3,2517
blueimp/jQuery-File-Upload,Scripting_Dynamic_Allow_Managed,1021,270,54881,90,3279
blueimp/jQuery-File-Upload,Scripting_Dynamic_Disallow_Managed,24,0,356,2,1918
brendangregg/FlameGraph,Scripting_Dynamic_Allow_Managed,217,45,4322,50,2869
briannesbitt/Carbon,Scripting_Dynamic_Allow_Managed,12973,3404,399243,240,2650
briansmith/ring,Procedural_Static_Allow_Unmanaged,19688,3221,555358,118,1872
briansmith/ring,Procedural_Static_Disallow_Managed,2101,363,80038,32,1812
briansmith/ring,Scripting_Dynamic_Allow_Managed,1174,247,64958,15,1849
briansmith/ring,Scripting_Dynamic_Disallow_Managed,268,23,12632,25,1609
bumptech/glide,Procedural_Static_Disallow_Managed,15532,2999,287178,141,2537
caddyserver/caddy,Procedural_Static_Disallow_Managed,8718,2819,934174,264,1786
capistrano/capistrano,Scripting_Dynamic_Allow_Managed,106,3,33696,4,1565
capistrano/capistrano,Scripting_Dynamic_Disallow_Managed,1419,494,14470,127,2430
carrierwaveuploader/carrierwave,Scripting_Dynamic_Disallow_Managed,2776,555,37531,286,4047
ccgus/fmdb,Functional_Static_Disallow_Managed,10,0,236,4,1750
ccgus/fmdb,Procedural_Static_Allow_Unmanaged,710,144,16260,67,3124
cdr/code-server,Scripting_Dynamic_Allow_Managed,269,74,16851,9,295
cefsharp/CefSharp,Procedural_Static_Allow_Unmanaged,5907,883,94934,104,3291
cefsharp/CefSharp,Procedural_Static_Disallow_Managed,6354,1053,81170,128,3290
certbot/certbot,Procedural_Static_Allow_Unmanaged,12,0,161,2,1293
certbot/certbot,Scripting_Dynamic_Disallow_Managed,14675,2786,186246,290,2752
chaplinjs/chaplin,Scripting_Dynamic_Allow_Managed,2893,314,90850,61,2606
chaplinjs/chaplin,Scripting_Dynamic_Disallow_Managed,13,0,253,2,146
chartjs/Chart.js,Scripting_Dynamic_Allow_Managed,4874,1204,474429,229,2456
chocolatey/choco,Procedural_Static_Disallow_Managed,4080,812,67983,49,2169
chrisbanes/PhotoView,Procedural_Static_Disallow_Managed,560,113,10583,36,2325
chubin/cheat.sh,Scripting_Dynamic_Disallow_Managed,379,44,9203,11,895
cjdelisle/cjdns,Procedural_Dynamic_Allow_Managed,50,1,1214,7,807
cjdelisle/cjdns,Procedural_Static_Allow_Unmanaged,13249,1714,329455,98,3092
cjdelisle/cjdns,Scripting_Dynamic_Allow_Managed,741,95,39872,53,2659
cjdelisle/cjdns,Scripting_Dynamic_Disallow_Managed,698,22,53329,27,2243
cloudwu/skynet,Procedural_Dynamic_Allow_Managed,1737,304,34903,61,2684
cloudwu/skynet,Procedural_Static_Allow_Unmanaged,2104,346,89524,53,2675
cmusatyalab/openface,Procedural_Dynamic_Allow_Managed,238,54,6018,3,379
cmusatyalab/openface,Scripting_Dynamic_Allow_Managed,46,0,13465,5,1464
cmusatyalab/openface,Scripting_Dynamic_Disallow_Managed,403,79,6669,19,928
cockroachdb/cockroach,Procedural_Static_Allow_Unmanaged,2430,467,23904,54,1957
cockroachdb/cockroach,Procedural_Static_Disallow_Managed,104550,23054,3213200,297,2128
cockroachdb/cockroach,Scripting_Dynamic_Allow_Managed,470,67,176925,35,1796
cockroachdb/cockroach,Scripting_Dynamic_Disallow_Managed,107,20,2402,26,1447
cocos2d/cocos2d-x,Procedural_Dynamic_Allow_Managed,9710,424,272339,97,3100
cocos2d/cocos2d-x,Procedural_Static_Allow_Unmanaged,123492,25896,7662521,796,3444
cocos2d/cocos2d-x,Procedural_Static_Disallow_Managed,2015,625,69802,122,3288
cocos2d/cocos2d-x,Scripting_Dynamic_Allow_Managed,3239,694,277005,85,3076
cocos2d/cocos2d-x,Scripting_Dynamic_Disallow_Managed,1159,233,53475,78,3076
codecombat/codecombat,Scripting_Dynamic_Allow_Managed,37331,6175,1192368,782,2167
codecombat/codecombat,Scripting_Dynamic_Disallow_Managed,134,34,2512,17,1666
commaai/openpilot,Procedural_Static_Allow_Unmanaged,2348,135,384745,16,1086
commaai/openpilot,Scripting_Dynamic_Disallow_Managed,2913,260,134690,65,1078
composer/composer,Scripting_Dynamic_Allow_Managed,11055,4117,141552,732,3163
containous/traefik,Procedural_Static_Allow_Unmanaged,10,1,171,5,909
containous/traefik,Procedural_Static_Disallow_Managed,34376,4100,3801405,267,1552
containous/traefik,Scripting_Dynamic_Allow_Managed,270,4,7100,18,1537
ctripcorp/apollo,Procedural_Static_Disallow_Managed,5413,560,100241,64,1366
ctripcorp/apollo,Scripting_Dynamic_Allow_Managed,724,134,44489,17,1349
curl/curl,Procedural_Static_Allow_Unmanaged,31121,10240,470778,599,7273
curl/curl,Scripting_Dynamic_Allow_Managed,1718,377,35040,75,7273
curl/curl,Scripting_Dynamic_Disallow_Managed,47,3,20697,12,2431
d3/d3,Scripting_Dynamic_Allow_Managed,11002,3474,248648,98,3339
danielgindi/Charts,Functional_Static_Disallow_Managed,4878,990,84349,134,1696
danielgindi/Charts,Procedural_Static_Allow_Unmanaged,1658,168,31991,27,1450
deepfakes/faceswap,Scripting_Dynamic_Disallow_Managed,2358,1013,84517,67,723
denoland/deno,Procedural_Static_Allow_Unmanaged,584,110,7759,17,545
denoland/deno,Procedural_Static_Disallow_Managed,165,9,1988,10,39
denoland/deno,Scripting_Dynamic_Allow_Managed,386,58,65302,29,572
denoland/deno,Scripting_Dynamic_Disallow_Managed,724,99,8701,37,543
diaspora/diaspora,Scripting_Dynamic_Allow_Managed,6563,1075,158509,177,3412
diaspora/diaspora,Scripting_Dynamic_Disallow_Managed,25879,3910,211196,333,3415
dibyendumajumdar/ravi,Procedural_Dynamic_Allow_Managed,398,68,24562,5,1792
dibyendumajumdar/ravi,Procedural_Static_Allow_Unmanaged,3555,521,174866,7,1793
dingo/api,Scripting_Dynamic_Allow_Managed,2507,680,43206,107,2027
discourse/discourse,Scripting_Dynamic_Allow_Managed,35660,10824,1290814,237,2499
discourse/discourse,Scripting_Dynamic_Disallow_Managed,44944,16898,503314,494,2979
django/django,Scripting_Dynamic_Allow_Managed,737,416,62967,79,5248
django/django,Scripting_Dynamic_Disallow_Managed,63590,37226,818107,1609,5264
dmlc/xgboost,Functional_Static_Disallow_Managed,771,266,16891,51,1410
dmlc/xgboost,Procedural_Static_Allow_Unmanaged,4256,912,112922,113,2133
dmlc/xgboost,Procedural_Static_Disallow_Managed,410,81,11070,29,1889
dmlc/xgboost,Scripting_Dynamic_Disallow_Managed,1197,312,26443,179,2115
dmotz/oriDomi,Scripting_Dynamic_Allow_Managed,554,67,9381,4,1297
docker/compose,Scripting_Dynamic_Disallow_Managed,5846,1219,74603,268,2176
docpad/docpad,Scripting_Dynamic_Allow_Managed,2029,602,66641,39,2748
doczjs/docz,Scripting_Dynamic_Allow_Managed,1036,261,11333,32,634
domnikl/DesignPatternsPHP,Scripting_Dynamic_Allow_Managed,2226,319,16041,109,2944
domnikl/DesignPatternsPHP,Scripting_Dynamic_Disallow_Managed,11,4,299,2,1598
donnemartin/interactive-coding-challenges,Scripting_Dynamic_Disallow_Managed,1822,358,66103,40,1226
dotnet-architecture/eShopOnContainers,Procedural_Static_Disallow_Managed,7814,1128,177204,99,1169
dotnet-architecture/eShopOnContainers,Scripting_Dynamic_Allow_Managed,437,19,176876,16,978
dotnet/BenchmarkDotNet,Procedural_Static_Disallow_Managed,9328,2920,114477,97,2300
dotnet/BenchmarkDotNet,Scripting_Dynamic_Allow_Managed,23,0,621,3,923
dotnet/machinelearning,Procedural_Static_Allow_Unmanaged,80,22,7558,14,579
dotnet/machinelearning,Procedural_Static_Disallow_Managed,23493,3235,441780,117,585
dotnet/orleans,Procedural_Static_Disallow_Managed,25167,3339,501115,225,1782
dotnet/roslyn,Procedural_Static_Allow_Unmanaged,236,52,16366,11,888
dotnet/roslyn,Procedural_Static_Disallow_Managed,163351,27863,5176783,501,2093
drone/drone,Procedural_Static_Allow_Unmanaged,35,8,728434,3,1781
drone/drone,Procedural_Static_Disallow_Managed,14724,1036,965297,248,2132
drone/drone,Scripting_Dynamic_Allow_Managed,382,32,13591,14,859
dropbox/zxcvbn,Scripting_Dynamic_Allow_Managed,332,46,158327,18,1806
dropbox/zxcvbn,Scripting_Dynamic_Disallow_Managed,37,1,789,2,1350
duckduckgo/duckduckgo,Scripting_Dynamic_Allow_Managed,802,99,13325,33,2231
duckduckgo/zeroclickinfo-goodies,Scripting_Dynamic_Allow_Managed,6071,849,116307,471,2854
dzenbot/DZNEmptyDataSet,Procedural_Static_Allow_Unmanaged,1235,113,21345,44,1331
eczarny/spectacle,Procedural_Static_Allow_Unmanaged,1659,154,24987,17,3399
eczarny/spectacle,Scripting_Dynamic_Allow_Managed,79,8,667,3,344
elastic/elasticsearch,Procedural_Static_Disallow_Managed,284957,47194,5506919,724,3593
elastic/elasticsearch,Scripting_Dynamic_Allow_Managed,150,13,14777,16,1828
elastic/elasticsearch,Scripting_Dynamic_Disallow_Managed,357,57,19954,37,2259
elastic/kibana,Functional_Static_Disallow_Managed,8,0,276,3,83
elastic/kibana,Procedural_Dynamic_Allow_Managed,10,0,154,4,433
elastic/kibana,Procedural_Static_Allow_Unmanaged,42,0,1457,4,433
elastic/kibana,Procedural_Static_Disallow_Managed,373,38,5705,9,2024
elastic/kibana,Scripting_Dynamic_Allow_Managed,193514,29933,11225690,400,2227
elastic/kibana,Scripting_Dynamic_Disallow_Managed,153,9,3337,9,2009
elastic/logstash,Procedural_Static_Disallow_Managed,2959,2131,72138,36,3028
elastic/logstash,Scripting_Dynamic_Allow_Managed,209,33,27474,7,2853
elastic/logstash,Scripting_Dynamic_Disallow_Managed,11220,4335,183159,340,3777
electron/electron,Procedural_Static_Allow_Unmanaged,27782,5561,300021,301,2463
electron/electron,Scripting_Dynamic_Allow_Managed,8534,1531,123119,266,2432
electron/electron,Scripting_Dynamic_Disallow_Managed,1401,356,16686,67,2432
emscripten-core/emscripten,Procedural_Dynamic_Allow_Managed,10,0,587,2,2140
emscripten-core/emscripten,Procedural_Static_Allow_Unmanaged,12776,1275,1614971,251,3393
emscripten-core/emscripten,Scripting_Dynamic_Allow_Managed,13333,3439,788723,398,3394
emscripten-core/emscripten,Scripting_Dynamic_Disallow_Managed,12182,2547,198190,314,3394
envoyproxy/envoy,Procedural_Static_Allow_Unmanaged,36513,6549,681128,362,1217
envoyproxy/envoy,Procedural_Static_Disallow_Managed,12,5,355,10,1157
envoyproxy/envoy,Scripting_Dynamic_Disallow_Managed,537,102,17718,81,1217
erusev/parsedown,Scripting_Dynamic_Allow_Managed,500,108,9121,31,2068
esp8266/Arduino,Procedural_Static_Allow_Unmanaged,5500,1596,361328,299,1849
esp8266/Arduino,Scripting_Dynamic_Disallow_Managed,244,68,5774,49,1617
etcd-io/etcd,Procedural_Static_Allow_Unmanaged,12,1,91,8,1871
etcd-io/etcd,Procedural_Static_Disallow_Managed,31927,4801,1816137,367,2378
etcd-io/etcd,Scripting_Dynamic_Allow_Managed,140,21,26391,7,309
etcd-io/etcd,Scripting_Dynamic_Disallow_Managed,12,0,441,10,2018
ethereum/go-ethereum,Procedural_Static_Allow_Unmanaged,917,38,290406,11,1771
ethereum/go-ethereum,Procedural_Static_Disallow_Managed,32566,6015,2305161,461,2174
ethereum/go-ethereum,Scripting_Dynamic_Allow_Managed,1159,196,57285,37,2037
ethereum/go-ethereum,Scripting_Dynamic_Disallow_Managed,49,7,3551,11,1618
eugenp/tutorials,Functional_Static_Disallow_Managed,102,0,1788,11,1281
eugenp/tutorials,Procedural_Static_Disallow_Managed,47288,4162,822712,887,2416
eugenp/tutorials,Scripting_Dynamic_Allow_Managed,2818,26,624793,51,1863
eugenp/tutorials,Scripting_Dynamic_Disallow_Managed,12,0,581,6,1831
expo/expo,Procedural_Static_Allow_Unmanaged,205264,7679,8988946,93,1206
expo/expo,Procedural_Static_Disallow_Managed,28220,3449,1176423,103,1211
expo/expo,Scripting_Dynamic_Allow_Managed,31261,1803,2254346,105,1273
expo/expo,Scripting_Dynamic_Disallow_Managed,230,33,3578,12,1285
expressjs/express,Scripting_Dynamic_Allow_Managed,5979,894,76378,201,3620
facebook/SocketRocket,Procedural_Static_Allow_Unmanaged,432,81,7774,55,2281
facebook/SocketRocket,Scripting_Dynamic_Disallow_Managed,19,0,2476,3,1592
facebook/create-react-app,Scripting_Dynamic_Allow_Managed,2931,723,121073,423,1243
facebook/folly,Procedural_Static_Allow_Unmanaged,27475,5344,719591,718,2778
facebook/folly,Scripting_Dynamic_Disallow_Managed,467,87,13134,54,2746
facebook/fresco,Procedural_Static_Allow_Unmanaged,1153,443,274482,31,1695
facebook/fresco,Procedural_Static_Disallow_Managed,8835,1094,144077,264,1719
facebook/fresco,Scripting_Dynamic_Allow_Managed,88,29,24311,10,1678
facebook/fresco,Scripting_Dynamic_Disallow_Managed,18,2,363,7,1626
facebook/hhvm,Procedural_Static_Allow_Unmanaged,139062,27957,7759448,827,3597
facebook/hhvm,Scripting_Dynamic_Allow_Managed,145105,8411,1450715,626,3596
facebook/hhvm,Scripting_Dynamic_Disallow_Managed,1645,304,37177,159,3582
facebook/react,Procedural_Static_Allow_Unmanaged,20,4,906,4,1084
facebook/react,Scripting_Dynamic_Allow_Managed,33478,7300,921489,870,2387
facebook/react,Scripting_Dynamic_Disallow_Managed,29,12,461,16,1544
facebook/react-native,Procedural_Static_Allow_Unmanaged,23762,4039,376395,778,1775
facebook/react-native,Procedural_Static_Disallow_Managed,12360,1981,217881,561,1548
facebook/react-native,Scripting_Dynamic_Allow_Managed,30660,4404,1107873,1634,1771
facebook/react-native,Scripting_Dynamic_Disallow_Managed,24,4,701,14,1496
facebook/rocksdb,Procedural_Static_Allow_Unmanaged,31522,7141,797141,599,3189
facebook/rocksdb,Procedural_Static_Disallow_Managed,2201,328,82401,85,2609
facebook/rocksdb,Scripting_Dynamic_Allow_Managed,99,20,2413,22,2506
facebook/rocksdb,Scripting_Dynamic_Disallow_Managed,276,60,15981,58,2524
facebook/yoga,Functional_Static_Disallow_Managed,35,9,626,8,1034
facebook/yoga,Procedural_Static_Allow_Unmanaged,3350,542,190065,117,2055
facebook/yoga,Procedural_Static_Disallow_Managed,2385,388,108004,71,1902
facebook/yoga,Scripting_Dynamic_Allow_Managed,1466,277,57026,59,2024
facebook/yoga,Scripting_Dynamic_Disallow_Managed,48,10,524,14,1087
facebook/zstd,Procedural_Static_Allow_Unmanaged,9633,2444,281493,118,1775
facebook/zstd,Scripting_Dynamic_Disallow_Managed,104,18,2777,8,1257
faif/python-patterns,Scripting_Dynamic_Disallow_Managed,1017,187,10122,104,2717
faker-ruby/faker,Scripting_Dynamic_Disallow_Managed,4143,1006,38769,465,4398
fastlane/fastlane,Functional_Static_Disallow_Managed,1243,86,16284,60,1607
fastlane/fastlane,Procedural_Static_Allow_Unmanaged,343,101,2589,9,1323
fastlane/fastlane,Procedural_Static_Disallow_Managed,96,9,1962,18,1426
fastlane/fastlane,Scripting_Dynamic_Allow_Managed,41,8,380,5,483
fastlane/fastlane,Scripting_Dynamic_Disallow_Managed,20471,4553,220032,1046,1905
fatedier/frp,Procedural_Static_Disallow_Managed,5164,247,702291,34,1398
fatedier/frp,Scripting_Dynamic_Allow_Managed,88,8,1167,2,915
felixse/FluentTerminal,Procedural_Static_Disallow_Managed,1856,494,37980,30,682
felixse/FluentTerminal,Scripting_Dynamic_Allow_Managed,68,8,15469,7,493
filp/whoops,Scripting_Dynamic_Allow_Managed,958,261,11663,109,2456
flatpickr/flatpickr,Scripting_Dynamic_Allow_Managed,2668,695,51704,100,1658
fluent/fluentd,Scripting_Dynamic_Disallow_Managed,6674,1547,141423,196,3095
formatjs/react-intl,Scripting_Dynamic_Allow_Managed,1915,219,32509,52,2021
freeCodeCamp/devdocs,Scripting_Dynamic_Allow_Managed,1814,228,35385,39,2179
freeCodeCamp/devdocs,Scripting_Dynamic_Disallow_Managed,4197,236,46338,89,2192
freeCodeCamp/freeCodeCamp,Scripting_Dynamic_Allow_Managed,12320,3631,701391,293,2218
fxsjy/jieba,Scripting_Dynamic_Disallow_Managed,631,117,990344,38,2464
fzaninotto/Faker,Scripting_Dynamic_Allow_Managed,3482,1078,210165,492,2966
gatling/gatling,Functional_Static_Disallow_Managed,32842,2786,249856,119,3100
gatling/gatling,Procedural_Static_Disallow_Managed,1382,158,51518,23,3084
gatling/gatling,Scripting_Dynamic_Allow_Managed,63,8,1787,15,2783
gatling/gatling,Scripting_Dynamic_Disallow_Managed,15,0,289,4,1830
gatsbyjs/gatsby,Scripting_Dynamic_Allow_Managed,18327,6917,368556,1133,1643
gentilkiwi/mimikatz,Procedural_Static_Allow_Unmanaged,2032,455,410052,3,2058
getgrav/grav,Scripting_Dynamic_Allow_Managed,8735,1718,183146,130,1955
getsentry/sentry,Procedural_Dynamic_Allow_Managed,32,9,3870,6,1379
getsentry/sentry,Scripting_Dynamic_Allow_Managed,26551,5864,537712,131,3388
getsentry/sentry,Scripting_Dynamic_Disallow_Managed,46373,8464,1650427,371,4230
ggreer/the_silver_searcher,Procedural_Static_Allow_Unmanaged,1681,397,13868,171,2662
gin-gonic/gin,Procedural_Static_Disallow_Managed,1790,427,27413,198,1988
gin-gonic/gin,Scripting_Dynamic_Allow_Managed,14,5,304,3,1388
git/git,Procedural_Static_Allow_Unmanaged,41946,9490,598373,1087,5354
git/git,Scripting_Dynamic_Allow_Managed,476,131,18405,115,5293
git/git,Scripting_Dynamic_Disallow_Managed,402,114,16058,78,5168
gitbucket/gitbucket,Functional_Static_Disallow_Managed,5559,1115,83227,114,2434
gitbucket/gitbucket,Procedural_Static_Disallow_Managed,125,7,634,14,2328
gitbucket/gitbucket,Scripting_Dynamic_Allow_Managed,963,32,525789,19,2372
github/hub,Procedural_Static_Disallow_Managed,4403,542,367555,114,2436
github/hub,Scripting_Dynamic_Disallow_Managed,970,250,10385,62,3646
github/hubot-scripts,Scripting_Dynamic_Allow_Managed,2746,572,46606,798,1699
github/linguist,Procedural_Static_Allow_Unmanaged,416,50,114126,39,3050
github/linguist,Procedural_Static_Disallow_Managed,70,7,10292,14,2896
github/linguist,Scripting_Dynamic_Allow_Managed,250,24,49890,27,3072
github/linguist,Scripting_Dynamic_Disallow_Managed,2301,278,24968,235,3137
gitlabhq/gitlabhq,Scripting_Dynamic_Allow_Managed,28664,5121,1023264,521,2983
gitlabhq/gitlabhq,Scripting_Dynamic_Disallow_Managed,142312,23247,1633520,1545,2983
gnachman/iTerm2,Functional_Static_Disallow_Managed,59,16,2130,1,222
gnachman/iTerm2,Procedural_Static_Allow_Unmanaged,29341,9155,820896,157,3429
gnachman/iTerm2,Scripting_Dynamic_Allow_Managed,47,5,26533,5,1236
gnachman/iTerm2,Scripting_Dynamic_Disallow_Managed,3655,261,541904,16,3413
go-gitea/gitea,Procedural_Static_Allow_Unmanaged,20,3,269458,7,1111
go-gitea/gitea,Procedural_Static_Disallow_Managed,23203,8387,2102815,472,2127
go-gitea/gitea,Scripting_Dynamic_Allow_Managed,1250,221,235569,99,2123
go-kit/kit,Procedural_Static_Disallow_Managed,3004,354,94043,154,1732
godotengine/godot,Procedural_Static_Allow_Unmanaged,80838,23672,4716872,1145,2130
godotengine/godot,Procedural_Static_Disallow_Managed,1383,425,58481,74,2125
godotengine/godot,Scripting_Dynamic_Allow_Managed,419,244,76590,12,2107
godotengine/godot,Scripting_Dynamic_Disallow_Managed,1548,584,36564,179,2128
gogs/gogs,Procedural_Static_Disallow_Managed,12740,3108,884447,265,2126
gogs/gogs,Scripting_Dynamic_Allow_Managed,670,99,112330,39,2095
gohugoio/hugo,Procedural_Static_Disallow_Managed,10501,3887,225276,310,2350
gohugoio/hugo,Scripting_Dynamic_Allow_Managed,213,27,43998,7,2194
golang/go,Procedural_Static_Allow_Unmanaged,18845,5910,574019,191,4245
golang/go,Procedural_Static_Disallow_Managed,106428,29827,4466296,1643,4291
golang/go,Scripting_Dynamic_Allow_Managed,224,55,9853,49,3713
golang/go,Scripting_Dynamic_Disallow_Managed,274,99,12540,51,3475
gollum/gollum,Scripting_Dynamic_Allow_Managed,3522,82,453788,36,2104
gollum/gollum,Scripting_Dynamic_Disallow_Managed,1549,339,14587,120,3099
google/ExoPlayer,Procedural_Static_Allow_Unmanaged,119,20,4082,16,1738
google/ExoPlayer,Procedural_Static_Disallow_Managed,24169,4416,546858,211,1995
google/brotli,Procedural_Dynamic_Allow_Managed,10,3,134,4,389
google/brotli,Procedural_Static_Allow_Unmanaged,2248,805,164281,37,2111
google/brotli,Procedural_Static_Disallow_Managed,229,108,11210,2,906
google/brotli,Scripting_Dynamic_Allow_Managed,17,15,2704,2,613
google/brotli,Scripting_Dynamic_Disallow_Managed,139,27,4834,15,1730
google/flatbuffers,Procedural_Dynamic_Allow_Managed,55,35,2968,10,497
google/flatbuffers,Procedural_Static_Allow_Unmanaged,2531,995,85839,289,2141
google/flatbuffers,Procedural_Static_Disallow_Managed,1269,435,27069,105,2128
google/flatbuffers,Scripting_Dynamic_Allow_Managed,233,93,14154,39,2106
google/flatbuffers,Scripting_Dynamic_Disallow_Managed,204,97,8042,37,1812
google/googletest,Procedural_Static_Allow_Unmanaged,4354,865,129635,148,4166
google/googletest,Scripting_Dynamic_Disallow_Managed,543,98,19155,38,4166
google/gson,Procedural_Static_Disallow_Managed,3706,722,72524,77,4074
google/guava,Procedural_Static_Disallow_Managed,35495,7435,1260448,340,3736
google/leveldb,Procedural_Static_Allow_Unmanaged,1869,544,45736,44,3180
grafana/grafana,Procedural_Static_Allow_Unmanaged,579,6,535226,4,1767
grafana/grafana,Procedural_Static_Disallow_Managed,27338,4546,3793650,416,1951
grafana/grafana,Scripting_Dynamic_Allow_Managed,23069,2395,1708577,320,2509
grafana/grafana,Scripting_Dynamic_Disallow_Managed,22,1,1434,6,1796
greenrobot/EventBus,Procedural_Static_Disallow_Managed,934,61,15920,14,2683
grpc/grpc,Functional_Static_Disallow_Managed,20,5,252,6,1192
grpc/grpc,Procedural_Static_Allow_Unmanaged,72077,12518,1455445,396,1840
grpc/grpc,Procedural_Static_Disallow_Managed,4361,706,109392,77,1775
grpc/grpc,Scripting_Dynamic_Allow_Managed,3113,413,77803,49,1807
grpc/grpc,Scripting_Dynamic_Disallow_Managed,11666,1656,235165,221,1838
gulpjs/gulp,Scripting_Dynamic_Allow_Managed,443,62,4618,33,2132
guzzle/guzzle,Scripting_Dynamic_Allow_Managed,10370,1754,150995,254,3206
guzzle/guzzle,Scripting_Dynamic_Disallow_Managed,12,1,179,1,634
h2o/h2o,Procedural_Static_Allow_Unmanaged,11989,1391,470342,92,1939
h2o/h2o,Scripting_Dynamic_Allow_Managed,371,54,16786,14,1935
h2o/h2o,Scripting_Dynamic_Disallow_Managed,1366,18,61213,11,1536
h5bp/html5-boilerplate,Procedural_Static_Disallow_Managed,20,4,0,7,538
h5bp/html5-boilerplate,Scripting_Dynamic_Allow_Managed,354,59,58011,54,3559
hackiftekhar/IQKeyboardManager,Functional_Static_Disallow_Managed,929,272,22696,35,1915
hackiftekhar/IQKeyboardManager,Procedural_Static_Allow_Unmanaged,1761,661,48571,50,2492
hakimel/reveal.js,Scripting_Dynamic_Allow_Managed,1549,316,28881,179,2844
hankcs/HanLP,Procedural_Static_Disallow_Managed,3761,100,113302,32,1888
haoel/leetcode,Procedural_Static_Allow_Unmanaged,1264,108,26143,30,1807
haoel/leetcode,Procedural_Static_Disallow_Managed,223,0,4989,5,862
haoel/leetcode,Scripting_Dynamic_Disallow_Managed,75,0,1254,1,34
hashicorp/consul,Procedural_Static_Allow_Unmanaged,23,6,834,10,1318
hashicorp/consul,Procedural_Static_Disallow_Managed,30901,4134,3659597,267,2195
hashicorp/consul,Scripting_Dynamic_Allow_Managed,2580,167,157177,43,2131
hashicorp/consul,Scripting_Dynamic_Disallow_Managed,94,2,388,24,2131
hashicorp/terraform,Procedural_Static_Allow_Unmanaged,25,6,453,9,1137
hashicorp/terraform,Procedural_Static_Disallow_Managed,71672,9809,8052516,1047,2028
hashicorp/terraform,Scripting_Dynamic_Allow_Managed,400,69,19223,16,1751
hashicorp/terraform,Scripting_Dynamic_Disallow_Managed,97,10,3577,24,1911
hashicorp/vagrant,Scripting_Dynamic_Allow_Managed,61,2,3995,6,2504
hashicorp/vagrant,Scripting_Dynamic_Disallow_Managed,17625,2910,217182,780,3594
hashicorp/vault,Procedural_Static_Allow_Unmanaged,20,0,818,6,1379
hashicorp/vault,Procedural_Static_Disallow_Managed,40522,4286,3292472,412,1745
hashicorp/vault,Scripting_Dynamic_Allow_Managed,3325,414,286977,41,1715
hashicorp/vault,Scripting_Dynamic_Disallow_Managed,94,3,937,16,1704
helm/helm,Procedural_Static_Disallow_Managed,9362,2285,144369,304,1499
helm/helm,Scripting_Dynamic_Disallow_Managed,149,10,4268,12,176
home-assistant/home-assistant,Scripting_Dynamic_Allow_Managed,611,21,76006,8,1238
home-assistant/home-assistant,Scripting_Dynamic_Disallow_Managed,57788,18101,1245997,1908,2275
hsoft/collapseos,Procedural_Static_Allow_Unmanaged,144,21,2281,2,239
hsoft/collapseos,Scripting_Dynamic_Allow_Managed,7,1,126,1,32
hsoft/collapseos,Scripting_Dynamic_Disallow_Managed,34,2,605,1,237
huggingface/transformers,Scripting_Dynamic_Disallow_Managed,4084,716,160459,199,406
huginn/huginn,Scripting_Dynamic_Allow_Managed,124,28,5534,15,1504
huginn/huginn,Scripting_Dynamic_Disallow_Managed,3835,783,59496,150,2464
ianyh/Amethyst,Functional_Static_Disallow_Managed,1086,174,19539,15,1461
ianyh/Amethyst,Procedural_Static_Allow_Unmanaged,800,166,9393,14,1446
ibireme/YYKit,Procedural_Static_Allow_Unmanaged,1086,195,83638,23,1464
ichord/At.js,Scripting_Dynamic_Allow_Managed,1084,372,32949,46,2253
