project,class,commits,bcommits,tins,devs,max_commit_age
playframework/playframework,Functional_Static_Disallow_Managed,23517,4934,352400,532,3011
playframework/playframework,Procedural_Static_Disallow_Managed,8770,2017,160717,201,2997
playframework/playframework,Scripting_Dynamic_Allow_Managed,255,40,56274,31,2877
pocorall/scaloid,Functional_Static_Disallow_Managed,1001,138,60451,17,2128
pocorall/scaloid,Procedural_Static_Disallow_Managed,9,2,285,4,852
polynote/polynote,Functional_Static_Disallow_Managed,1885,585,39024,6,324
polynote/polynote,Scripting_Dynamic_Allow_Managed,494,99,11903,3,287
polynote/polynote,Scripting_Dynamic_Disallow_Managed,23,6,26764,2,176
pooler/cpuminer,Procedural_Static_Allow_Unmanaged,429,52,14266,14,2967
pret/pokecrystal,Procedural_Static_Allow_Unmanaged,50,29,2084,7,905
pret/pokecrystal,Scripting_Dynamic_Disallow_Managed,775,148,41961,14,2651
pret/pokered,Procedural_Static_Allow_Unmanaged,109,2,3794,5,2576
pret/pokered,Scripting_Dynamic_Disallow_Managed,302,43,12967,9,2555
prettier/prettier,Scripting_Dynamic_Allow_Managed,10637,2756,264786,253,1105
prisma/prisma,Functional_Static_Disallow_Managed,18938,1659,354438,17,746
prisma/prisma,Procedural_Static_Allow_Unmanaged,15,4,88,2,281
prisma/prisma,Procedural_Static_Disallow_Managed,128,30,1620,4,666
prisma/prisma,Scripting_Dynamic_Allow_Managed,513,125,19093,17,656
prisma/prisma,Scripting_Dynamic_Disallow_Managed,141,18,1766,3,113
project-everest/hacl-star,Procedural_Static_Allow_Unmanaged,9145,143,593705,19,719
prometheus/prometheus,Procedural_Static_Disallow_Managed,24408,3222,3061612,441,2573
prometheus/prometheus,Scripting_Dynamic_Allow_Managed,313,82,37934,58,2485
protocolbuffers/protobuf,Functional_Static_Disallow_Managed,7,2,630,2,521
protocolbuffers/protobuf,Procedural_Static_Allow_Unmanaged,13755,2133,961779,369,4164
protocolbuffers/protobuf,Procedural_Static_Disallow_Managed,9004,1059,1017368,123,4150
protocolbuffers/protobuf,Scripting_Dynamic_Allow_Managed,1351,295,74809,43,1435
protocolbuffers/protobuf,Scripting_Dynamic_Disallow_Managed,1606,200,65807,101,4142
proxyee-down-org/proxyee-down,Procedural_Static_Disallow_Managed,1129,20,22874,4,701
proxyee-down-org/proxyee-down,Scripting_Dynamic_Allow_Managed,261,15,5006,11,686
psf/requests,Scripting_Dynamic_Disallow_Managed,4486,803,107237,479,3175
pubkey/rxdb,Scripting_Dynamic_Allow_Managed,4845,629,579620,34,1099
puppeteer/puppeteer,Scripting_Dynamic_Allow_Managed,3450,1179,103390,130,944
pypa/pipenv,Procedural_Static_Allow_Unmanaged,148,0,41187,3,722
pypa/pipenv,Scripting_Dynamic_Disallow_Managed,10555,1707,715489,233,960
python/cpython,Procedural_Static_Allow_Unmanaged,56072,14964,3668039,503,10648
python/cpython,Scripting_Dynamic_Allow_Managed,85,11,2917,15,7920
python/cpython,Scripting_Dynamic_Disallow_Managed,95403,22959,2655338,845,10650
pytorch/pytorch,Procedural_Dynamic_Allow_Managed,120,24,2496,19,2151
pytorch/pytorch,Procedural_Static_Allow_Unmanaged,61917,9582,1700918,1062,2877
pytorch/pytorch,Procedural_Static_Disallow_Managed,55,6,3002,3,95
pytorch/pytorch,Scripting_Dynamic_Disallow_Managed,26572,6014,660560,1260,1629
radareorg/radare2,Procedural_Dynamic_Allow_Managed,23,3,878,2,1721
radareorg/radare2,Procedural_Static_Allow_Unmanaged,58109,29457,1577621,813,3960
radareorg/radare2,Procedural_Static_Disallow_Managed,7,5,59,2,1194
radareorg/radare2,Scripting_Dynamic_Allow_Managed,816,268,150614,27,3931
radareorg/radare2,Scripting_Dynamic_Disallow_Managed,223,82,3719,18,3951
rails/rails,Procedural_Dynamic_Allow_Managed,21,3,224,7,1763
rails/rails,Scripting_Dynamic_Allow_Managed,1196,177,101409,104,5334
rails/rails,Scripting_Dynamic_Disallow_Managed,128063,22459,1233639,4077,5495
railsware/upterm,Scripting_Dynamic_Allow_Managed,314,43,5061,11,852
ramsey/uuid,Scripting_Dynamic_Allow_Managed,1051,170,15729,53,2710
rapid7/metasploit-framework,Procedural_Dynamic_Allow_Managed,28,2,295,6,2299
rapid7/metasploit-framework,Procedural_Static_Allow_Unmanaged,8713,330,961939,62,5292
rapid7/metasploit-framework,Procedural_Static_Disallow_Managed,2212,324,66004,35,4715
rapid7/metasploit-framework,Scripting_Dynamic_Allow_Managed,1344,89,193124,36,5074
rapid7/metasploit-framework,Scripting_Dynamic_Disallow_Managed,144865,29273,4322750,1130,5372
raywenderlich/swift-algorithm-club,Functional_Static_Disallow_Managed,2312,539,70822,229,1382
rclone/rclone,Procedural_Static_Allow_Unmanaged,16,1,538,1,1105
rclone/rclone,Procedural_Static_Disallow_Managed,44425,4523,10436017,255,2574
rclone/rclone,Scripting_Dynamic_Allow_Managed,53,12,2574,1,910
rclone/rclone,Scripting_Dynamic_Disallow_Managed,87,15,1915,13,1556
react-dnd/react-dnd,Scripting_Dynamic_Allow_Managed,2725,159,44551,50,1875
react-native-community/react-native-maps,Procedural_Static_Allow_Unmanaged,816,232,17014,129,1406
react-native-community/react-native-maps,Procedural_Static_Disallow_Managed,439,98,12908,98,1373
react-native-community/react-native-maps,Scripting_Dynamic_Allow_Managed,772,209,20227,113,1404
react-navigation/react-navigation,Procedural_Static_Disallow_Managed,22,3,85,6,824
react-navigation/react-navigation,Scripting_Dynamic_Allow_Managed,2386,898,161464,222,972
reactiveui/ReactiveUI,Procedural_Static_Disallow_Managed,9944,1976,282729,148,3464
reactiveui/ReactiveUI,Scripting_Dynamic_Disallow_Managed,14,0,192,2,1941
realm/SwiftLint,Functional_Static_Disallow_Managed,8462,1753,85464,212,1662
realm/realm-cocoa,Functional_Static_Disallow_Managed,4477,771,99124,55,1986
realm/realm-cocoa,Procedural_Static_Allow_Unmanaged,15647,2496,318935,105,2768
realm/realm-cocoa,Scripting_Dynamic_Allow_Managed,14,1,1775,5,2720
realm/realm-cocoa,Scripting_Dynamic_Disallow_Managed,141,20,2221,13,2771
recharts/recharts,Scripting_Dynamic_Allow_Managed,4689,1520,203705,144,1561
reduxjs/redux,Scripting_Dynamic_Allow_Managed,2416,454,26162,226,1639
resque/resque,Scripting_Dynamic_Allow_Managed,13,0,217,8,2483
resque/resque,Scripting_Dynamic_Disallow_Managed,1418,289,13545,195,3435
restsharp/RestSharp,Procedural_Static_Disallow_Managed,3354,925,119197,238,3574
rethinkdb/rethinkdb,Procedural_Static_Allow_Unmanaged,73371,14348,3190497,114,3652
rethinkdb/rethinkdb,Procedural_Static_Disallow_Managed,4340,360,78542,24,1883
rethinkdb/rethinkdb,Scripting_Dynamic_Allow_Managed,13287,3946,958495,60,2637
rethinkdb/rethinkdb,Scripting_Dynamic_Disallow_Managed,9621,2061,355327,111,3491
robb/Cartography,Functional_Static_Disallow_Managed,752,91,12151,35,1805
robbiehanson/CocoaAsyncSocket,Functional_Static_Disallow_Managed,13,1,789,4,771
robbiehanson/CocoaAsyncSocket,Procedural_Static_Allow_Unmanaged,841,263,61166,52,4016
robertdavidgraham/masscan,Procedural_Static_Allow_Unmanaged,2134,308,80451,32,2247
roots/sage,Scripting_Dynamic_Allow_Managed,2395,394,32380,163,2851
rsnapshot/rsnapshot,Scripting_Dynamic_Allow_Managed,514,110,18695,26,5745
rtyley/bfg-repo-cleaner,Functional_Static_Disallow_Managed,634,102,7570,5,1847
rubocop-hq/rubocop,Scripting_Dynamic_Disallow_Managed,27525,9036,382239,639,2790
ruby-grape/grape,Scripting_Dynamic_Disallow_Managed,3483,1080,48931,286,3416
ruby/ruby,Procedural_Static_Allow_Unmanaged,52843,11781,1662044,177,7999
ruby/ruby,Scripting_Dynamic_Allow_Managed,30,0,1007,6,3435
ruby/ruby,Scripting_Dynamic_Disallow_Managed,75283,11783,2000662,221,7999
sbt/sbt,Functional_Static_Disallow_Managed,19192,3825,279723,206,3819
sbt/sbt,Procedural_Static_Disallow_Managed,737,89,6994,35,3806
sbt/sbt,Scripting_Dynamic_Disallow_Managed,46,10,535,3,625
scala-js/scala-js,Functional_Static_Disallow_Managed,16043,6877,438563,76,3140
scala-js/scala-js,Scripting_Dynamic_Allow_Managed,345,141,6834,12,2376
scala-native/scala-native,Functional_Static_Disallow_Managed,7722,1827,294262,83,1437
scala-native/scala-native,Procedural_Static_Allow_Unmanaged,464,75,27985,24,1357
scala-native/scala-native,Scripting_Dynamic_Disallow_Managed,24,3,1535,3,1110
scala/scala,Functional_Static_Disallow_Managed,114893,22788,1711542,587,6143
scala/scala,Procedural_Static_Disallow_Managed,9196,1203,313328,92,6062
scala/scala,Scripting_Dynamic_Allow_Managed,230,66,18899,34,5800
scalanlp/breeze,Functional_Static_Disallow_Managed,10422,1196,230678,129,4137
scalanlp/breeze,Procedural_Static_Disallow_Managed,36,1,228,7,3747
scalatra/scalatra,Functional_Static_Disallow_Managed,6241,827,76512,119,3833
scalatra/scalatra,Procedural_Static_Disallow_Managed,31,2,2692,8,3072
scalatra/scalatra,Scripting_Dynamic_Allow_Managed,105,10,25098,7,2336
scalaz/scalaz,Functional_Static_Disallow_Managed,16099,1672,218757,254,3973
scalaz/scalaz,Procedural_Static_Disallow_Managed,227,1,32783,12,1336
scikit-learn/scikit-learn,Procedural_Static_Allow_Unmanaged,2457,458,2122355,111,3606
scikit-learn/scikit-learn,Scripting_Dynamic_Allow_Managed,40,10,35844,9,2789
scikit-learn/scikit-learn,Scripting_Dynamic_Disallow_Managed,41474,10432,752245,1610,3626
scrapy/scrapy,Scripting_Dynamic_Disallow_Managed,11414,1697,158688,281,4178
scwang90/SmartRefreshLayout,Procedural_Static_Disallow_Managed,3356,16,79976,9,807
sebastianbergmann/phpunit,Scripting_Dynamic_Allow_Managed,28600,4651,320713,422,4911
serbanghita/Mobile-Detect,Scripting_Dynamic_Allow_Managed,759,153,17978,75,3769
serverless/serverless,Procedural_Static_Disallow_Managed,109,7,1698,28,1190
serverless/serverless,Scripting_Dynamic_Allow_Managed,20478,2989,690448,435,1695
serverless/serverless,Scripting_Dynamic_Disallow_Managed,85,9,570,31,1387
sferik/rails_admin,Scripting_Dynamic_Allow_Managed,2196,175,345925,88,3361
sferik/rails_admin,Scripting_Dynamic_Disallow_Managed,6844,1474,78395,301,3381
shadowsocks/ShadowsocksX-NG,Functional_Static_Disallow_Managed,1291,65,54916,24,1250
shadowsocks/ShadowsocksX-NG,Procedural_Static_Allow_Unmanaged,1324,22,74754,15,1240
shadowsocks/shadowsocks-windows,Procedural_Static_Disallow_Managed,2161,311,64599,70,2509
shuzheng/zheng,Procedural_Static_Disallow_Managed,2046,0,58109,6,771
shuzheng/zheng,Scripting_Dynamic_Allow_Managed,624,0,36847,4,722
sinatra/sinatra,Scripting_Dynamic_Disallow_Managed,3539,738,56084,302,4430
sindresorhus/refined-github,Scripting_Dynamic_Allow_Managed,1357,272,14986,96,1164
sitaramc/gitolite,Scripting_Dynamic_Allow_Managed,502,68,9113,13,2600
sjdy521/Mojo-Webqq,Scripting_Dynamic_Allow_Managed,1356,7,16690,24,1411
sjdy521/Mojo-Weixin,Scripting_Dynamic_Allow_Managed,824,6,10635,10,1348
skylot/jadx,Procedural_Static_Disallow_Managed,7513,3212,123101,40,2458
slackapi/hubot-slack,Scripting_Dynamic_Allow_Managed,656,123,7657,58,2289
slackhq/SlackTextViewController,Functional_Static_Disallow_Managed,142,5,16713,7,1093
slackhq/SlackTextViewController,Procedural_Static_Allow_Unmanaged,3381,637,54276,62,1462
slick/slick,Functional_Static_Disallow_Managed,8150,1079,103127,140,3927
slick/slick,Scripting_Dynamic_Disallow_Managed,46,3,555,4,1700
slimphp/Slim,Scripting_Dynamic_Allow_Managed,6509,937,113899,227,3367
snabbco/snabb,Procedural_Dynamic_Allow_Managed,7707,1331,285971,58,3616
snabbco/snabb,Procedural_Static_Allow_Unmanaged,6195,1113,333085,26,3504
snabbco/snabb,Scripting_Dynamic_Disallow_Managed,124,15,5460,8,1534
snowplow/snowplow,Functional_Static_Disallow_Managed,7921,518,123946,57,2731
snowplow/snowplow,Procedural_Static_Disallow_Managed,197,29,3609,10,2460
snowplow/snowplow,Scripting_Dynamic_Allow_Managed,317,42,10105,12,838
snowplow/snowplow,Scripting_Dynamic_Disallow_Managed,1228,204,15253,22,2672
socketio/socket.io,Scripting_Dynamic_Allow_Managed,1402,387,34761,105,3058
soimort/you-get,Scripting_Dynamic_Disallow_Managed,2387,853,27017,197,2610
sorich87/bootstrap-tour,Scripting_Dynamic_Allow_Managed,1550,322,71696,49,2287
soyjavi/QuoJS,Scripting_Dynamic_Allow_Managed,1816,262,43396,31,1252
spark-jobserver/spark-jobserver,Functional_Static_Disallow_Managed,2444,711,48246,107,2066
spark-jobserver/spark-jobserver,Procedural_Static_Disallow_Managed,23,7,246,7,788
spark-jobserver/spark-jobserver,Scripting_Dynamic_Allow_Managed,23,1,6054,8,1613
spark-jobserver/spark-jobserver,Scripting_Dynamic_Disallow_Managed,41,8,922,8,497
spf13/cobra,Procedural_Static_Disallow_Managed,806,235,20671,118,2236
spray/spray,Functional_Static_Disallow_Managed,11222,1194,141005,81,2098
spray/spray,Scripting_Dynamic_Allow_Managed,131,21,7134,4,1544
spray/spray,Scripting_Dynamic_Disallow_Managed,22,1,263,3,1029
spree/spree,Procedural_Dynamic_Allow_Managed,18,2,144,4,855
spree/spree,Scripting_Dynamic_Allow_Managed,3154,1038,141777,174,4291
spree/spree,Scripting_Dynamic_Disallow_Managed,42775,12033,691525,752,4301
spring-projects/spring-boot,Procedural_Static_Disallow_Managed,82390,11678,1107756,568,2420
spring-projects/spring-boot,Scripting_Dynamic_Allow_Managed,42,3,42925,8,2240
spring-projects/spring-boot,Scripting_Dynamic_Disallow_Managed,10,2,60,6,1956
spring-projects/spring-framework,Procedural_Static_Disallow_Managed,127646,29462,2413853,418,4170
spring-projects/spring-framework,Scripting_Dynamic_Allow_Managed,65,5,292,12,3339
spring-projects/spring-framework,Scripting_Dynamic_Disallow_Managed,31,0,123,6,3017
sqitchers/sqitch,Scripting_Dynamic_Allow_Managed,5261,487,49291,29,2621
sqlitebrowser/sqlitebrowser,Procedural_Static_Allow_Unmanaged,6027,1355,680627,79,5937
square/okhttp,Procedural_Static_Disallow_Managed,9197,1559,217377,202,3119
square/picasso,Procedural_Static_Disallow_Managed,2401,298,33247,107,2418
square/retrofit,Procedural_Static_Disallow_Managed,3446,306,71528,119,3328
stedolan/jq,Procedural_Static_Allow_Unmanaged,1445,462,79183,51,2653
stedolan/jq,Scripting_Dynamic_Allow_Managed,17,6,4381,3,2175
stedolan/jq,Scripting_Dynamic_Disallow_Managed,13,1,353,4,2358
storybookjs/storybook,Procedural_Static_Allow_Unmanaged,52,4,705,6,492
storybookjs/storybook,Procedural_Static_Disallow_Managed,36,3,285,6,492
storybookjs/storybook,Scripting_Dynamic_Allow_Managed,23640,4564,264186,586,1460
swiftmailer/swiftmailer,Scripting_Dynamic_Allow_Managed,7272,1660,242210,149,4390
swoole/swoole-src,Procedural_Static_Allow_Unmanaged,19777,5125,452422,166,2698
swoole/swoole-src,Procedural_Static_Disallow_Managed,23,3,274,4,1992
swoole/swoole-src,Scripting_Dynamic_Allow_Managed,2921,436,57856,52,2698
swoole/swoole-src,Scripting_Dynamic_Disallow_Managed,8,1,144,4,1495
symfony/symfony,Scripting_Dynamic_Allow_Managed,106133,30574,1466883,2395,3627
syncthing/syncthing,Procedural_Static_Disallow_Managed,21032,6741,3038358,151,2184
syncthing/syncthing,Scripting_Dynamic_Allow_Managed,858,338,109720,65,2165
taigaio/taiga-front,Scripting_Dynamic_Allow_Managed,8416,1960,146279,40,1988
taigaio/taiga-front,Scripting_Dynamic_Disallow_Managed,20,6,524,5,1253
taosdata/TDengine,Procedural_Static_Allow_Unmanaged,2164,462,200484,25,153
taosdata/TDengine,Procedural_Static_Disallow_Managed,49,15,3524,10,140
taosdata/TDengine,Scripting_Dynamic_Allow_Managed,61,24,2675,1,83
taosdata/TDengine,Scripting_Dynamic_Disallow_Managed,75,60,3680,2,118
tarantool/tarantool,Procedural_Dynamic_Allow_Managed,7904,2325,336707,106,3070
tarantool/tarantool,Procedural_Static_Allow_Unmanaged,27553,7011,1107016,124,3375
tarantool/tarantool,Scripting_Dynamic_Allow_Managed,393,94,12987,15,2118
tarantool/tarantool,Scripting_Dynamic_Disallow_Managed,1171,286,20535,40,3239
teamcapybara/capybara,Scripting_Dynamic_Allow_Managed,66,13,10858,15,3660
teamcapybara/capybara,Scripting_Dynamic_Disallow_Managed,7033,967,72725,262,3685
telegramdesktop/tdesktop,Procedural_Static_Allow_Unmanaged,43309,7220,1266638,68,1992
telegramdesktop/tdesktop,Scripting_Dynamic_Disallow_Managed,124,18,4184,3,1986
tensorflow/models,Procedural_Static_Allow_Unmanaged,1398,94,109129,23,1353
tensorflow/models,Scripting_Dynamic_Disallow_Managed,10262,1995,663267,517,1426
tensorflow/tensorflow,Functional_Static_Disallow_Managed,157,1,5666,4,245
tensorflow/tensorflow,Procedural_Static_Allow_Unmanaged,126593,16610,4046024,1079,1495
tensorflow/tensorflow,Procedural_Static_Disallow_Managed,2400,303,4150273,150,1491
tensorflow/tensorflow,Scripting_Dynamic_Allow_Managed,105,22,1484,16,575
tensorflow/tensorflow,Scripting_Dynamic_Disallow_Managed,83438,14242,2798016,1668,1495
tensorflow/tfjs,Procedural_Static_Allow_Unmanaged,423,75,11497,11,655
tensorflow/tfjs,Scripting_Dynamic_Allow_Managed,416,79,30918,21,859
tensorflow/tfjs,Scripting_Dynamic_Disallow_Managed,599,188,27980,27,853
tesseract-ocr/tesseract,Procedural_Static_Allow_Unmanaged,13529,4127,763051,114,4655
tesseract-ocr/tesseract,Procedural_Static_Disallow_Managed,63,35,2669,4,3802
tesseract-ocr/tesseract,Scripting_Dynamic_Disallow_Managed,51,23,4356,11,2804
testerSunshine/12306,Scripting_Dynamic_Disallow_Managed,703,96,10841,20,884
the-control-group/voyager,Scripting_Dynamic_Allow_Managed,7796,2408,810275,369,1134
thephpleague/flysystem,Scripting_Dynamic_Allow_Managed,2221,827,35030,132,2233
thepracticaldev/dev.to,Scripting_Dynamic_Allow_Managed,1135,421,30061,83,645
thepracticaldev/dev.to,Scripting_Dynamic_Disallow_Managed,7201,2475,71998,169,650
thoughtbot/bourbon,Scripting_Dynamic_Disallow_Managed,348,28,2717,33,2944
thoughtbot/paperclip,Scripting_Dynamic_Disallow_Managed,3137,681,37739,341,4009
tmux/tmux,Procedural_Static_Allow_Unmanaged,16637,3565,261043,42,4537
tmuxinator/tmuxinator,Scripting_Dynamic_Disallow_Managed,685,182,7732,79,3278
tobie/ua-parser,Procedural_Static_Disallow_Managed,200,34,5101,15,868
tobie/ua-parser,Scripting_Dynamic_Allow_Managed,412,46,35725,15,1197
tobie/ua-parser,Scripting_Dynamic_Disallow_Managed,70,20,1739,17,946
tootsuite/mastodon,Scripting_Dynamic_Allow_Managed,6062,2058,67576,250,1387
tootsuite/mastodon,Scripting_Dynamic_Disallow_Managed,11028,3965,106695,258,1386
torch/torch7,Procedural_Dynamic_Allow_Managed,428,97,11290,91,1992
torch/torch7,Procedural_Static_Allow_Unmanaged,1154,226,33298,112,2064
tornadoweb/tornado,Procedural_Static_Allow_Unmanaged,10,4,208,7,3724
tornadoweb/tornado,Scripting_Dynamic_Allow_Managed,12,2,269,7,3212
tornadoweb/tornado,Scripting_Dynamic_Disallow_Managed,6669,1366,100285,370,3732
torvalds/linux,Procedural_Static_Allow_Unmanaged,1694098,414313,42542414,26531,6655
torvalds/linux,Scripting_Dynamic_Allow_Managed,1455,396,51734,278,5256
torvalds/linux,Scripting_Dynamic_Disallow_Managed,830,148,43613,139,4887
trekhleb/javascript-algorithms,Scripting_Dynamic_Allow_Managed,997,152,24651,52,456
tristanhimmelman/ObjectMapper,Functional_Static_Disallow_Managed,1225,156,24932,93,1697
tristanhimmelman/ObjectMapper,Procedural_Static_Allow_Unmanaged,21,0,229,4,1489
tsenart/vegeta,Procedural_Static_Disallow_Managed,679,146,29988,39,2273
turbolinks/turbolinks-classic,Scripting_Dynamic_Allow_Managed,332,108,3031,51,1112
turbolinks/turbolinks-classic,Scripting_Dynamic_Disallow_Managed,134,34,1429,21,1124
twbs/bootstrap,Scripting_Dynamic_Allow_Managed,9544,1447,326022,300,3134
twbs/bootstrap,Scripting_Dynamic_Disallow_Managed,47,15,470,15,1552
twbs/bootstrap-sass,Scripting_Dynamic_Allow_Managed,925,47,21815,14,2703
twbs/bootstrap-sass,Scripting_Dynamic_Disallow_Managed,595,102,4487,31,2681
twitter-archive/flockdb,Functional_Static_Disallow_Managed,1380,233,13441,18,722
twitter-archive/flockdb,Scripting_Dynamic_Disallow_Managed,13,1,1709,2,533
twitter-archive/gizzard,Functional_Static_Disallow_Managed,2893,326,31099,29,793
twitter-archive/gizzard,Scripting_Dynamic_Disallow_Managed,18,2,906,4,47
twitter-archive/kestrel,Functional_Static_Disallow_Managed,1781,305,29402,37,2707
twitter-archive/kestrel,Procedural_Static_Disallow_Managed,14,1,0,1,89
twitter-archive/snowflake,Functional_Static_Disallow_Managed,349,34,2511,14,1539
twitter-archive/snowflake,Procedural_Static_Disallow_Managed,15,0,0,3,607
twitter-archive/snowflake,Scripting_Dynamic_Disallow_Managed,16,1,70,4,1464
twitter/finagle,Functional_Static_Disallow_Managed,26146,5199,513750,370,3340
twitter/finagle,Procedural_Static_Disallow_Managed,902,154,69232,72,3336
twitter/finagle,Scripting_Dynamic_Disallow_Managed,77,11,1382,21,2890
twitter/scalding,Functional_Static_Disallow_Managed,6313,913,140091,204,2885
twitter/scalding,Procedural_Static_Disallow_Managed,103,15,5749,18,2127
twitter/scalding,Scripting_Dynamic_Disallow_Managed,109,23,2203,30,2702
twitter/summingbird,Functional_Static_Disallow_Managed,3725,475,58754,44,2226
twitter/summingbird,Procedural_Static_Disallow_Managed,186,11,2249,6,1330
twitter/twemproxy,Procedural_Static_Allow_Unmanaged,592,104,12558,33,2212
twitter/twemproxy,Scripting_Dynamic_Disallow_Managed,33,3,1802,6,1051
twitter/util,Functional_Static_Disallow_Managed,5319,1023,131079,237,3412
twitter/util,Procedural_Static_Disallow_Managed,251,20,6748,48,3324
tymondesigns/jwt-auth,Scripting_Dynamic_Allow_Managed,2756,1054,23314,67,1830
typelevel/cats,Functional_Static_Disallow_Managed,8596,1560,104429,274,1777
typeorm/typeorm,Scripting_Dynamic_Allow_Managed,22,4,909,5,1180
uglide/RedisDesktopManager,Procedural_Static_Allow_Unmanaged,6516,862,512714,23,2260
uglide/RedisDesktopManager,Scripting_Dynamic_Allow_Managed,58,22,2104,4,1741
uglide/RedisDesktopManager,Scripting_Dynamic_Disallow_Managed,825,13,72520,2,2123
ustbhuangyi/better-scroll,Scripting_Dynamic_Allow_Managed,1318,180,61941,24,1334
v2ray/v2ray-core,Procedural_Static_Disallow_Managed,15190,1196,357233,50,1555
v8/v8,Procedural_Dynamic_Allow_Managed,34,11,791,16,3155
v8/v8,Procedural_Static_Allow_Unmanaged,286961,51580,6338440,774,4178
v8/v8,Scripting_Dynamic_Allow_Managed,34475,6752,1445442,409,4177
v8/v8,Scripting_Dynamic_Disallow_Managed,5919,778,150453,299,4176
vapor/vapor,Functional_Static_Disallow_Managed,16445,1507,325317,134,1422
vapor/vapor,Procedural_Static_Allow_Unmanaged,22,0,217018,7,1335
videolan/x265,Procedural_Static_Allow_Unmanaged,24205,3018,589981,153,2384
videolan/x265,Scripting_Dynamic_Disallow_Managed,20,0,319,3,614
virtualagc/virtualagc,Procedural_Static_Allow_Unmanaged,1322,340,139121,13,4135
virtualagc/virtualagc,Scripting_Dynamic_Disallow_Managed,365,80,17353,4,3631
vnpy/vnpy,Procedural_Static_Allow_Unmanaged,5874,61,1175970,15,1698
vnpy/vnpy,Scripting_Dynamic_Disallow_Managed,7054,514,537562,88,1718
vuejs/vue,Scripting_Dynamic_Allow_Managed,7645,1947,479939,239,1333
vuetifyjs/vuetify,Scripting_Dynamic_Allow_Managed,15474,4286,422213,190,1175
vurtun/nuklear,Procedural_Static_Allow_Unmanaged,2737,988,291709,94,1671
wagoodman/dive,Procedural_Static_Disallow_Managed,922,178,23256,13,563
webmin/webmin,Functional_Static_Disallow_Managed,107,7,364,3,3985
webmin/webmin,Procedural_Static_Allow_Unmanaged,38,8,716,3,4042
webmin/webmin,Procedural_Static_Disallow_Managed,119,8,2852,2,3856
webmin/webmin,Scripting_Dynamic_Allow_Managed,9341,2165,383606,67,4624
webmin/webmin,Scripting_Dynamic_Disallow_Managed,16,2,2203,3,3714
webpack/webpack,Scripting_Dynamic_Allow_Managed,22188,4687,303894,553,2826
wireapp/wire-android,Functional_Static_Disallow_Managed,8760,1808,211026,34,1439
wireapp/wire-android,Procedural_Static_Disallow_Managed,4922,572,67788,29,1437
x64dbg/x64dbg,Procedural_Static_Allow_Unmanaged,14368,4111,475762,95,2201
xmartlabs/Eureka,Functional_Static_Disallow_Managed,1578,478,29538,126,1514
yahoo/kafka-manager,Functional_Static_Disallow_Managed,1189,139,21650,55,1553
yakyak/yakyak,Scripting_Dynamic_Allow_Managed,1599,295,16572,65,1357
yarnpkg/yarn,Scripting_Dynamic_Allow_Managed,6373,2842,93317,482,1417
ycm-core/YouCompleteMe,Procedural_Static_Allow_Unmanaged,25093,274,2340043,17,2777
ycm-core/YouCompleteMe,Scripting_Dynamic_Disallow_Managed,2385,532,57623,59,2784
yiisoft/yii2,Scripting_Dynamic_Allow_Managed,34966,10575,807048,893,3071
ytdl-org/youtube-dl,Scripting_Dynamic_Disallow_Managed,20402,4733,299470,806,2939
yuki-kimoto/gitprep,Scripting_Dynamic_Allow_Managed,1294,101,36824,6,2036
zxing/zxing,Procedural_Static_Allow_Unmanaged,4563,392,143309,21,2104
zxing/zxing,Procedural_Static_Disallow_Managed,8692,950,223603,84,4297
zxing/zxing,Scripting_Dynamic_Disallow_Managed,381,0,47459,6,1879
